"","State","Date","WindGustSpeed","WindCata"
"1","New South Wales","2008-12-01",59,"Safe"
"2","New South Wales","2008-12-02",44,"Safe"
"3","New South Wales","2008-12-03",70,"MinorHazard"
"4","New South Wales","2008-12-04",39,"Safe"
"5","New South Wales","2008-12-05",41,"Safe"
"6","New South Wales","2008-12-06",56,"Safe"
"7","New South Wales","2008-12-07",50,"Safe"
"8","New South Wales","2008-12-08",54,"Safe"
"9","New South Wales","2008-12-09",80,"MinorHazard"
"10","New South Wales","2008-12-10",59,"Safe"
"11","New South Wales","2008-12-11",33,"Safe"
"12","New South Wales","2008-12-12",67,"MinorHazard"
"13","New South Wales","2008-12-13",91,"Damaging"
"14","New South Wales","2008-12-14",85,"MinorHazard"
"15","New South Wales","2008-12-16",50,"Safe"
"16","New South Wales","2008-12-17",50,"Safe"
"17","New South Wales","2008-12-18",67,"MinorHazard"
"18","New South Wales","2008-12-19",56,"Safe"
"19","New South Wales","2008-12-20",56,"Safe"
"20","New South Wales","2008-12-21",35,"Safe"
"21","New South Wales","2008-12-22",63,"MinorHazard"
"22","New South Wales","2008-12-23",52,"Safe"
"23","New South Wales","2008-12-24",43,"Safe"
"24","New South Wales","2008-12-25",43,"Safe"
"25","New South Wales","2008-12-26",48,"Safe"
"26","New South Wales","2008-12-27",59,"Safe"
"27","New South Wales","2008-12-28",48,"Safe"
"28","New South Wales","2008-12-29",46,"Safe"
"29","New South Wales","2008-12-30",57,"Safe"
"30","New South Wales","2008-12-31",46,"Safe"
"31","New South Wales","2009-01-01",72,"MinorHazard"
"32","New South Wales","2009-01-02",69,"MinorHazard"
"33","New South Wales","2009-01-03",52,"Safe"
"34","New South Wales","2009-01-04",65,"MinorHazard"
"35","New South Wales","2009-01-05",63,"MinorHazard"
"36","New South Wales","2009-01-06",72,"MinorHazard"
"37","New South Wales","2009-01-07",63,"MinorHazard"
"38","New South Wales","2009-01-08",57,"Safe"
"39","New South Wales","2009-01-09",78,"MinorHazard"
"40","New South Wales","2009-01-10",81,"MinorHazard"
"41","New South Wales","2009-01-11",76,"MinorHazard"
"42","New South Wales","2009-01-12",50,"Safe"
"43","New South Wales","2009-01-13",59,"Safe"
"44","New South Wales","2009-01-14",67,"MinorHazard"
"45","New South Wales","2009-01-15",81,"MinorHazard"
"46","New South Wales","2009-01-16",63,"MinorHazard"
"47","New South Wales","2009-01-17",61,"Safe"
"48","New South Wales","2009-01-18",61,"Safe"
"49","New South Wales","2009-01-19",59,"Safe"
"50","New South Wales","2009-01-20",115,"Damaging"
"51","New South Wales","2009-01-21",76,"MinorHazard"
"52","New South Wales","2009-01-22",98,"Damaging"
"53","New South Wales","2009-01-23",94,"Damaging"
"54","New South Wales","2009-01-24",85,"MinorHazard"
"55","New South Wales","2009-01-25",65,"MinorHazard"
"56","New South Wales","2009-01-26",57,"Safe"
"57","New South Wales","2009-01-27",57,"Safe"
"58","New South Wales","2009-01-28",54,"Safe"
"59","New South Wales","2009-01-29",61,"Safe"
"60","New South Wales","2009-01-30",61,"Safe"
"61","New South Wales","2009-01-31",61,"Safe"
"62","New South Wales","2009-02-01",83,"MinorHazard"
"63","New South Wales","2009-02-02",63,"MinorHazard"
"64","New South Wales","2009-02-05",63,"MinorHazard"
"65","New South Wales","2009-02-06",67,"MinorHazard"
"66","New South Wales","2009-02-07",67,"MinorHazard"
"67","New South Wales","2009-02-08",59,"Safe"
"68","New South Wales","2009-02-09",57,"Safe"
"69","New South Wales","2009-02-10",59,"Safe"
"70","New South Wales","2009-02-11",81,"MinorHazard"
"71","New South Wales","2009-02-12",57,"Safe"
"72","New South Wales","2009-02-13",69,"MinorHazard"
"73","New South Wales","2009-02-14",65,"MinorHazard"
"74","New South Wales","2009-02-15",61,"Safe"
"75","New South Wales","2009-02-16",67,"MinorHazard"
"76","New South Wales","2009-02-17",67,"MinorHazard"
"77","New South Wales","2009-02-18",74,"MinorHazard"
"78","New South Wales","2009-02-19",59,"Safe"
"79","New South Wales","2009-02-20",48,"Safe"
"80","New South Wales","2009-02-21",48,"Safe"
"81","New South Wales","2009-02-22",54,"Safe"
"82","New South Wales","2009-02-23",70,"MinorHazard"
"83","New South Wales","2009-02-24",56,"Safe"
"84","New South Wales","2009-02-25",46,"Safe"
"85","New South Wales","2009-02-26",52,"Safe"
"86","New South Wales","2009-02-27",65,"MinorHazard"
"87","New South Wales","2009-02-28",59,"Safe"
"88","New South Wales","2009-03-01",50,"Safe"
"89","New South Wales","2009-03-02",52,"Safe"
"90","New South Wales","2009-03-03",65,"MinorHazard"
"91","New South Wales","2009-03-04",61,"Safe"
"92","New South Wales","2009-03-05",57,"Safe"
"93","New South Wales","2009-03-06",46,"Safe"
"94","New South Wales","2009-03-07",52,"Safe"
"95","New South Wales","2009-03-08",50,"Safe"
"96","New South Wales","2009-03-09",50,"Safe"
"97","New South Wales","2009-03-10",61,"Safe"
"98","New South Wales","2009-03-11",57,"Safe"
"99","New South Wales","2009-03-12",48,"Safe"
"100","New South Wales","2009-03-13",39,"Safe"
"101","New South Wales","2009-03-14",70,"MinorHazard"
"102","New South Wales","2009-03-15",50,"Safe"
"103","New South Wales","2009-03-16",50,"Safe"
"104","New South Wales","2009-03-17",43,"Safe"
"105","New South Wales","2009-03-18",52,"Safe"
"106","New South Wales","2009-03-19",43,"Safe"
"107","New South Wales","2009-03-20",41,"Safe"
"108","New South Wales","2009-03-21",52,"Safe"
"109","New South Wales","2009-03-22",57,"Safe"
"110","New South Wales","2009-03-23",57,"Safe"
"111","New South Wales","2009-03-24",54,"Safe"
"112","New South Wales","2009-03-25",80,"MinorHazard"
"113","New South Wales","2009-03-26",76,"MinorHazard"
"114","New South Wales","2009-03-27",61,"Safe"
"115","New South Wales","2009-03-28",56,"Safe"
"116","New South Wales","2009-03-29",65,"MinorHazard"
"117","New South Wales","2009-03-30",70,"MinorHazard"
"118","New South Wales","2009-03-31",83,"MinorHazard"
"119","New South Wales","2009-04-01",85,"MinorHazard"
"120","New South Wales","2009-04-02",61,"Safe"
"121","New South Wales","2009-04-03",98,"Damaging"
"122","New South Wales","2009-04-04",67,"MinorHazard"
"123","New South Wales","2009-04-05",48,"Safe"
"124","New South Wales","2009-04-06",59,"Safe"
"125","New South Wales","2009-04-07",54,"Safe"
"126","New South Wales","2009-04-08",44,"Safe"
"127","New South Wales","2009-04-09",43,"Safe"
"128","New South Wales","2009-04-10",48,"Safe"
"129","New South Wales","2009-04-11",46,"Safe"
"130","New South Wales","2009-04-12",48,"Safe"
"131","New South Wales","2009-04-13",48,"Safe"
"132","New South Wales","2009-04-14",50,"Safe"
"133","New South Wales","2009-04-15",65,"MinorHazard"
"134","New South Wales","2009-04-16",54,"Safe"
"135","New South Wales","2009-04-17",63,"MinorHazard"
"136","New South Wales","2009-04-18",69,"MinorHazard"
"137","New South Wales","2009-04-19",80,"MinorHazard"
"138","New South Wales","2009-04-20",80,"MinorHazard"
"139","New South Wales","2009-04-21",72,"MinorHazard"
"140","New South Wales","2009-04-22",72,"MinorHazard"
"141","New South Wales","2009-04-23",63,"MinorHazard"
"142","New South Wales","2009-04-24",57,"Safe"
"143","New South Wales","2009-04-25",91,"Damaging"
"144","New South Wales","2009-04-26",81,"MinorHazard"
"145","New South Wales","2009-04-27",76,"MinorHazard"
"146","New South Wales","2009-04-28",59,"Safe"
"147","New South Wales","2009-04-29",59,"Safe"
"148","New South Wales","2009-04-30",54,"Safe"
"149","New South Wales","2009-05-01",44,"Safe"
"150","New South Wales","2009-05-02",61,"Safe"
"151","New South Wales","2009-05-03",44,"Safe"
"152","New South Wales","2009-05-04",43,"Safe"
"153","New South Wales","2009-05-05",57,"Safe"
"154","New South Wales","2009-05-06",46,"Safe"
"155","New South Wales","2009-05-07",43,"Safe"
"156","New South Wales","2009-05-08",69,"MinorHazard"
"157","New South Wales","2009-05-09",56,"Safe"
"158","New South Wales","2009-05-10",65,"MinorHazard"
"159","New South Wales","2009-05-11",65,"MinorHazard"
"160","New South Wales","2009-05-12",56,"Safe"
"161","New South Wales","2009-05-13",39,"Safe"
"162","New South Wales","2009-05-14",56,"Safe"
"163","New South Wales","2009-05-15",89,"MinorHazard"
"164","New South Wales","2009-05-16",91,"Damaging"
"165","New South Wales","2009-05-17",48,"Safe"
"166","New South Wales","2009-05-18",43,"Safe"
"167","New South Wales","2009-05-19",57,"Safe"
"168","New South Wales","2009-05-20",61,"Safe"
"169","New South Wales","2009-05-21",78,"MinorHazard"
"170","New South Wales","2009-05-22",87,"MinorHazard"
"171","New South Wales","2009-05-23",69,"MinorHazard"
"172","New South Wales","2009-05-24",59,"Safe"
"173","New South Wales","2009-05-25",63,"MinorHazard"
"174","New South Wales","2009-05-26",52,"Safe"
"175","New South Wales","2009-05-27",39,"Safe"
"176","New South Wales","2009-05-28",54,"Safe"
"177","New South Wales","2009-05-29",65,"MinorHazard"
"178","New South Wales","2009-05-30",69,"MinorHazard"
"179","New South Wales","2009-05-31",65,"MinorHazard"
"180","New South Wales","2009-06-01",52,"Safe"
"181","New South Wales","2009-06-02",39,"Safe"
"182","New South Wales","2009-06-03",44,"Safe"
"183","New South Wales","2009-06-04",41,"Safe"
"184","New South Wales","2009-06-05",41,"Safe"
"185","New South Wales","2009-06-06",54,"Safe"
"186","New South Wales","2009-06-07",50,"Safe"
"187","New South Wales","2009-06-08",63,"MinorHazard"
"188","New South Wales","2009-06-09",78,"MinorHazard"
"189","New South Wales","2009-06-10",80,"MinorHazard"
"190","New South Wales","2009-06-11",48,"Safe"
"191","New South Wales","2009-06-12",63,"MinorHazard"
"192","New South Wales","2009-06-13",56,"Safe"
"193","New South Wales","2009-06-14",54,"Safe"
"194","New South Wales","2009-06-15",43,"Safe"
"195","New South Wales","2009-06-16",70,"MinorHazard"
"196","New South Wales","2009-06-17",52,"Safe"
"197","New South Wales","2009-06-18",54,"Safe"
"198","New South Wales","2009-06-19",56,"Safe"
"199","New South Wales","2009-06-20",61,"Safe"
"200","New South Wales","2009-06-21",54,"Safe"
"201","New South Wales","2009-06-22",56,"Safe"
"202","New South Wales","2009-06-23",37,"Safe"
"203","New South Wales","2009-06-24",57,"Safe"
"204","New South Wales","2009-06-25",48,"Safe"
"205","New South Wales","2009-06-26",46,"Safe"
"206","New South Wales","2009-06-27",63,"MinorHazard"
"207","New South Wales","2009-06-28",81,"MinorHazard"
"208","New South Wales","2009-06-29",78,"MinorHazard"
"209","New South Wales","2009-06-30",72,"MinorHazard"
"210","New South Wales","2009-07-01",63,"MinorHazard"
"211","New South Wales","2009-07-02",70,"MinorHazard"
"212","New South Wales","2009-07-03",70,"MinorHazard"
"213","New South Wales","2009-07-04",83,"MinorHazard"
"214","New South Wales","2009-07-05",72,"MinorHazard"
"215","New South Wales","2009-07-06",57,"Safe"
"216","New South Wales","2009-07-07",56,"Safe"
"217","New South Wales","2009-07-08",54,"Safe"
"218","New South Wales","2009-07-09",50,"Safe"
"219","New South Wales","2009-07-10",80,"MinorHazard"
"220","New South Wales","2009-07-11",81,"MinorHazard"
"221","New South Wales","2009-07-12",91,"Damaging"
"222","New South Wales","2009-07-13",44,"Safe"
"223","New South Wales","2009-07-14",56,"Safe"
"224","New South Wales","2009-07-15",46,"Safe"
"225","New South Wales","2009-07-16",57,"Safe"
"226","New South Wales","2009-07-17",57,"Safe"
"227","New South Wales","2009-07-18",65,"MinorHazard"
"228","New South Wales","2009-07-19",50,"Safe"
"229","New South Wales","2009-07-20",46,"Safe"
"230","New South Wales","2009-07-21",46,"Safe"
"231","New South Wales","2009-07-22",72,"MinorHazard"
"232","New South Wales","2009-07-23",72,"MinorHazard"
"233","New South Wales","2009-07-24",56,"Safe"
"234","New South Wales","2009-07-25",46,"Safe"
"235","New South Wales","2009-07-26",41,"Safe"
"236","New South Wales","2009-07-27",54,"Safe"
"237","New South Wales","2009-07-28",61,"Safe"
"238","New South Wales","2009-07-29",43,"Safe"
"239","New South Wales","2009-07-30",44,"Safe"
"240","New South Wales","2009-07-31",59,"Safe"
"241","New South Wales","2009-08-01",43,"Safe"
"242","New South Wales","2009-08-02",37,"Safe"
"243","New South Wales","2009-08-03",57,"Safe"
"244","New South Wales","2009-08-04",39,"Safe"
"245","New South Wales","2009-08-05",44,"Safe"
"246","New South Wales","2009-08-06",54,"Safe"
"247","New South Wales","2009-08-07",85,"MinorHazard"
"248","New South Wales","2009-08-08",63,"MinorHazard"
"249","New South Wales","2009-08-09",63,"MinorHazard"
"250","New South Wales","2009-08-10",44,"Safe"
"251","New South Wales","2009-08-11",63,"MinorHazard"
"252","New South Wales","2009-08-12",43,"Safe"
"253","New South Wales","2009-08-13",46,"Safe"
"254","New South Wales","2009-08-14",39,"Safe"
"255","New South Wales","2009-08-15",46,"Safe"
"256","New South Wales","2009-08-16",70,"MinorHazard"
"257","New South Wales","2009-08-17",59,"Safe"
"258","New South Wales","2009-08-18",54,"Safe"
"259","New South Wales","2009-08-19",85,"MinorHazard"
"260","New South Wales","2009-08-20",57,"Safe"
"261","New South Wales","2009-08-21",70,"MinorHazard"
"262","New South Wales","2009-08-22",57,"Safe"
"263","New South Wales","2009-08-23",44,"Safe"
"264","New South Wales","2009-08-24",85,"MinorHazard"
"265","New South Wales","2009-08-25",107,"Damaging"
"266","New South Wales","2009-08-26",120,"Damaging"
"267","New South Wales","2009-08-27",50,"Safe"
"268","New South Wales","2009-08-28",35,"Safe"
"269","New South Wales","2009-08-29",83,"MinorHazard"
"270","New South Wales","2009-08-30",76,"MinorHazard"
"271","New South Wales","2009-08-31",59,"Safe"
"272","New South Wales","2009-09-01",46,"Safe"
"273","New South Wales","2009-09-02",44,"Safe"
"274","New South Wales","2009-09-03",52,"Safe"
"275","New South Wales","2009-09-04",50,"Safe"
"276","New South Wales","2009-09-05",67,"MinorHazard"
"277","New South Wales","2009-09-06",54,"Safe"
"278","New South Wales","2009-09-07",85,"MinorHazard"
"279","New South Wales","2009-09-08",57,"Safe"
"280","New South Wales","2009-09-09",61,"Safe"
"281","New South Wales","2009-09-11",61,"Safe"
"282","New South Wales","2009-09-12",74,"MinorHazard"
"283","New South Wales","2009-09-13",81,"MinorHazard"
"284","New South Wales","2009-09-14",67,"MinorHazard"
"285","New South Wales","2009-09-15",54,"Safe"
"286","New South Wales","2009-09-16",56,"Safe"
"287","New South Wales","2009-09-17",65,"MinorHazard"
"288","New South Wales","2009-09-18",57,"Safe"
"289","New South Wales","2009-09-19",39,"Safe"
