"","State","Date","WindGustSpeed","Temp","Rainfall"
"1","New South Wales","2008-12-01",59,25.875,0.6
"2","New South Wales","2008-12-02",44,24.3,0
"3","New South Wales","2008-12-03",52,25.425,0
"4","New South Wales","2008-12-04",39,21.05,0.4
"5","New South Wales","2008-12-05",41,24.85,1
"6","New South Wales","2008-12-06",56,28.975,0.2
"7","New South Wales","2008-12-07",50,22.275,0.6
"8","New South Wales","2008-12-08",54,21.05,12
"9","New South Wales","2008-12-09",80,25.275,4.8
"10","New South Wales","2008-12-10",59,22.875,1.4
"11","New South Wales","2008-12-11",33,23.25,15
"12","New South Wales","2008-12-12",67,18.425,6.8
"13","New South Wales","2008-12-13",91,25.4,48.4
"14","New South Wales","2008-12-14",85,22.425,3.6
"15","New South Wales","2008-12-17",50,24.675,0
"16","New South Wales","2008-12-18",67,26.875,16.8
"17","New South Wales","2008-12-19",56,23.825,10.6
"18","New South Wales","2008-12-20",56,19.3,0
"19","New South Wales","2008-12-21",35,21.8,0
"20","New South Wales","2008-12-22",63,26.55,0
"21","New South Wales","2008-12-23",52,26.725,0
"22","New South Wales","2008-12-24",43,24.025,1.2
"23","New South Wales","2008-12-25",43,24.425,0.6
"24","New South Wales","2008-12-26",48,27.35,0
"25","New South Wales","2008-12-27",59,26.925,0
"26","New South Wales","2008-12-28",48,27.375,6
"27","New South Wales","2008-12-29",46,24.375,0
"28","New South Wales","2008-12-30",57,25.475,2.6
"29","New South Wales","2008-12-31",46,27.325,0.8
"30","New South Wales","2009-01-01",72,30.35,0
"31","New South Wales","2009-01-02",69,26.8,0.2
"32","New South Wales","2009-01-03",52,27.925,4.6
"33","New South Wales","2009-01-04",65,30.15,1.2
"34","New South Wales","2009-01-05",63,31.25,2.6
"35","New South Wales","2009-01-06",72,34.1,0
"36","New South Wales","2009-01-07",63,32.05,0
"37","New South Wales","2009-01-08",57,30.175,0.4
"38","New South Wales","2009-01-09",78,28.275,7.8
"39","New South Wales","2009-01-10",81,27.8,45.2
"40","New South Wales","2009-01-11",76,28.2,3.4
"41","New South Wales","2009-01-12",50,31.225,8.4
"42","New South Wales","2009-01-13",59,32.275,0.6
"43","New South Wales","2009-01-14",67,33.925,1.6
"44","New South Wales","2009-01-15",81,33.725,0
"45","New South Wales","2009-01-16",63,31.875,10.4
"46","New South Wales","2009-01-17",61,27.6,6.4
"47","New South Wales","2009-01-18",61,26.475,12.8
"48","New South Wales","2009-01-19",59,29.8,0
"49","New South Wales","2009-01-20",115,32.475,4.8
"50","New South Wales","2009-01-21",76,31.525,15.8
"51","New South Wales","2009-01-22",98,29.9,47.6
"52","New South Wales","2009-01-23",94,31.1,23
"53","New South Wales","2009-01-24",85,34.275,8.6
"54","New South Wales","2009-01-25",65,30.475,10.4
"55","New South Wales","2009-01-26",57,32.775,6
"56","New South Wales","2009-01-27",57,32.775,10.6
"57","New South Wales","2009-01-28",54,32.825,2
"58","New South Wales","2009-01-29",61,34.15,0.8
"59","New South Wales","2009-01-30",61,34,0.6
"60","New South Wales","2009-01-31",61,34.15,0
